subjectID,session,delayMsec,trial,isAnimal,response,numberDistractors
KAE,1,40,41,0,0,51
KAE,1,40,42,1,0,52
KAE,1,40,43,1,1,50
KAE,1,40,44,1,1,50
KAE,1,40,45,0,0,51
KAE,1,40,46,0,0,51
KAE,1,40,47,1,1,52
KAE,1,40,48,1,0,52
KAE,1,40,49,0,0,51
KAE,1,40,50,0,0,51
KAE,2,80,1,0,0,50
KAE,2,80,2,0,0,66
KAE,2,80,3,0,0,85
KAE,2,80,4,0,0,107
KAE,2,80,5,0,0,131
KAE,2,80,6,1,1,159
KAE,2,80,7,0,0,190
KAE,2,80,8,1,1,223
KAE,2,80,9,1,1,260
KAE,2,80,10,1,1,301
KAE,2,80,11,1,0,345
KAE,2,80,12,0,0,227
KAE,2,80,13,1,0,250
KAE,2,80,14,0,1,186
KAE,2,80,15,1,0,132
KAE,2,80,16,0,0,85
KAE,2,80,17,0,0,98
KAE,2,80,18,1,0,109
KAE,2,80,19,0,1,79
KAE,2,80,20,1,1,49
KAE,2,80,21,1,1,58
KAE,2,80,22,1,1,65
KAE,2,80,23,1,1,72
KAE,2,80,24,0,0,77
KAE,2,80,25,1,1,82
KAE,2,80,26,1,1,86
KAE,2,80,27,0,0,89
KAE,2,80,28,0,0,92
KAE,2,80,29,1,1,95
KAE,2,80,30,0,0,98
KAE,2,80,31,0,1,101
KAE,2,80,32,1,1,94
KAE,2,80,33,1,1,96
KAE,2,80,34,0,1,98
KAE,2,80,35,0,0,92
KAE,2,80,36,1,0,94
KAE,2,80,37,1,1,88
KAE,2,80,38,0,0,90
KAE,2,80,39,1,1,92
KAE,2,80,40,0,0,94
KAE,2,80,41,1,1,95
KAE,2,80,42,1,1,97
KAE,2,80,43,0,0,98
KAE,2,80,44,1,1,99
KAE,2,80,45,0,1,100
KAE,2,80,46,1,1,97
KAE,2,80,47,0,0,98
KAE,2,80,48,0,0,99
KAE,2,80,49,0,1,100
KAE,2,80,50,1,1,97
KAE,2,20,1,0,0,50
KAE,2,20,2,0,1,66
KAE,2,20,3,0,0,29
KAE,2,20,4,1,1,34
KAE,2,20,5,1,1,40
KAE,2,20,6,1,1,45
KAE,2,20,7,1,1,50
KAE,2,20,8,0,0,55
KAE,2,20,9,1,1,59
KAE,2,20,10,0,1,63
KAE,2,20,11,0,0,52
KAE,2,20,12,1,1,55
KAE,2,20,13,0,0,58
KAE,2,20,14,0,0,60
KAE,2,20,15,1,1,62
KAE,2,20,16,1,1,64
KAE,2,20,17,1,1,66
KAE,2,20,18,1,1,68
KAE,2,20,19,1,1,70
KAE,2,20,20,1,1,71
KAE,2,20,21,0,0,73
KAE,2,20,22,0,1,75
KAE,2,20,23,0,0,70
KAE,2,20,24,0,0,71
KAE,2,20,25,1,1,73
KAE,2,20,26,1,1,74
KAE,2,20,27,0,1,75
KAE,2,20,28,1,1,72
KAE,2,20,29,1,1,73
KAE,2,20,30,0,1,74
KAE,2,20,31,1,1,71
KAE,2,20,32,0,0,72
KAE,2,20,33,0,0,73
KAE,2,20,34,0,0,74
KAE,2,20,35,1,1,74
KAE,2,20,36,1,1,75
KAE,2,20,37,1,1,76
KAE,2,20,38,1,1,77
KAE,2,20,39,1,1,78
KAE,2,20,40,1,1,78
KAE,2,20,41,0,0,79
KAE,2,20,42,1,1,80
KAE,2,20,43,0,0,81
KAE,2,20,44,0,0,81
KAE,2,20,45,0,1,82
KAE,2,20,46,0,0,80
KAE,2,20,47,0,1,80
KAE,2,20,48,1,1,79
